State,Cong District,Election,1st pref,2nd pref,3rd pref,4th pref,5th pref,Votes Cast
ME,2,2018,B,B,B,B,B,187
ME,2,2018,B,B,B,B,D,1
ME,2,2018,B,B,B,B,H,1
ME,2,2018,B,B,B,B,U,11
ME,2,2018,B,B,B,D,R,1
ME,2,2018,B,B,B,H,D,1
ME,2,2018,B,B,B,H,H,1
ME,2,2018,B,B,B,H,U,1
ME,2,2018,B,B,B,R,H,1
ME,2,2018,B,B,B,U,B,2
ME,2,2018,B,B,B,U,H,1
ME,2,2018,B,B,B,U,U,10
ME,2,2018,B,B,D,D,B,1
ME,2,2018,B,B,D,D,D,3
ME,2,2018,B,B,D,D,R,1
ME,2,2018,B,B,D,D,U,1
ME,2,2018,B,B,D,H,H,1
ME,2,2018,B,B,D,H,R,3
ME,2,2018,B,B,D,U,U,1
ME,2,2018,B,B,H,D,D,1
ME,2,2018,B,B,H,D,R,3
ME,2,2018,B,B,H,H,B,3
ME,2,2018,B,B,H,H,H,2
ME,2,2018,B,B,H,H,R,1
ME,2,2018,B,B,H,H,U,1
ME,2,2018,B,B,H,R,U,2
ME,2,2018,B,B,H,U,H,1
ME,2,2018,B,B,H,U,R,1
ME,2,2018,B,B,H,U,U,1
ME,2,2018,B,B,R,H,D,1
ME,2,2018,B,B,R,H,H,1
ME,2,2018,B,B,R,R,R,1
ME,2,2018,B,B,U,D,R,1
ME,2,2018,B,B,U,H,R,1
ME,2,2018,B,B,U,U,B,2
ME,2,2018,B,B,U,U,U,23
ME,2,2018,B,D,B,B,B,3
ME,2,2018,B,D,B,B,D,1
ME,2,2018,B,D,B,D,B,7
ME,2,2018,B,D,B,D,D,1
ME,2,2018,B,D,B,D,H,1
ME,2,2018,B,D,B,H,R,3
ME,2,2018,B,D,B,R,U,1
ME,2,2018,B,D,B,U,U,3
ME,2,2018,B,D,D,B,B,1
ME,2,2018,B,D,D,B,D,2
ME,2,2018,B,D,D,D,D,5
ME,2,2018,B,D,D,D,U,1
ME,2,2018,B,D,D,H,R,1
ME,2,2018,B,D,D,H,U,2
ME,2,2018,B,D,D,R,U,3
ME,2,2018,B,D,D,U,U,4
ME,2,2018,B,D,H,B,D,1
ME,2,2018,B,D,H,B,R,2
ME,2,2018,B,D,H,B,U,1
ME,2,2018,B,D,H,D,B,1
ME,2,2018,B,D,H,D,D,1
ME,2,2018,B,D,H,D,U,1
ME,2,2018,B,D,H,H,H,1
ME,2,2018,B,D,H,H,R,1
ME,2,2018,B,D,H,H,U,5
ME,2,2018,B,D,H,O,R,2
